iter	Logloss
0	0.6358212383
1	0.5973904127
2	0.5619181764
3	0.5368429297
4	0.5086720358
5	0.4938620286
6	0.4814663707
7	0.4672026507
8	0.4542789324
9	0.443853994
10	0.4316850674
11	0.4182353277
12	0.4098974789
13	0.402187227
14	0.394471283
15	0.3868554949
16	0.3800765387
17	0.3712474788
18	0.3662479732
19	0.3614796978
20	0.353435776
21	0.3464653858
22	0.3421468837
23	0.3360413434
24	0.3315044933
25	0.3280269195
26	0.3232650348
27	0.3185788325
28	0.3140322833
29	0.3100041226
30	0.3050932182
31	0.3026028206
32	0.2991686571
33	0.2956795586
34	0.2924052165
35	0.2889166032
36	0.2850040524
37	0.2819459187
38	0.2787003935
39	0.2755507846
40	0.2729323672
41	0.2704482442
42	0.2656925654
43	0.2622733849
44	0.25832877
45	0.2560097307
46	0.2529097769
47	0.2501614085
48	0.2474409316
49	0.2444168222
50	0.2420248159
51	0.2401118204
52	0.2372720513
53	0.2348181214
54	0.2335362101
55	0.2316058423
56	0.2300624875
57	0.2286183588
58	0.2269708346
59	0.2253073179
60	0.2229369689
61	0.2207796939
62	0.2190937443
63	0.2175537914
64	0.2158358614
65	0.2142982303
66	0.2124883732
67	0.2109333293
68	0.2092424136
69	0.2059117794
70	0.2044466593
71	0.2028624139
72	0.2015030439
73	0.2000877742
74	0.1973661781
75	0.1949101016
76	0.192926035
77	0.1897734679
78	0.1882836438
79	0.1867046663
80	0.1851805807
81	0.1838466468
82	0.1814887482
83	0.180251112
84	0.1793379733
85	0.1780872483
86	0.1755818991
87	0.1741420836
88	0.1733612015
89	0.1720085401
90	0.1686572929
91	0.168298986
92	0.1661217224
93	0.164541818
94	0.162916974
95	0.1620942344
96	0.1597764163
97	0.1580899562
98	0.1567606211
99	0.1561417995
100	0.1543265684
101	0.1523004005
102	0.1519825055
103	0.1509558172
104	0.1485009856
105	0.1468270044
106	0.1459725818
107	0.1439532615
108	0.1421852985
109	0.1402373716
110	0.1393939063
111	0.1389457425
112	0.1367471765
113	0.1363732318
114	0.1344217191
115	0.1336514849
116	0.132801431
117	0.1313611076
118	0.1295533425
119	0.1284449481
120	0.1261717428
121	0.1243865177
122	0.122058541
123	0.1215862667
124	0.1201971532
125	0.11985868
126	0.1190289311
127	0.1186988117
128	0.1173535009
129	0.1163663764
130	0.1153815207
131	0.1151455859
132	0.1130970178
133	0.1118649515
134	0.1112691981
135	0.1100837352
136	0.1095923833
137	0.1083883983
138	0.1069018311
139	0.1052537742
140	0.1049289669
141	0.104552998
142	0.1039788711
143	0.1038008766
144	0.1027333396
145	0.101788158
146	0.1002358596
147	0.09979756298
148	0.09884775231
149	0.09788183812
150	0.09684360462
151	0.09618178072
152	0.09599250393
153	0.09523964116
154	0.09492464495
155	0.09478526452
156	0.09381744617
157	0.09291907351
158	0.09239320733
159	0.09170456521
160	0.09091546571
161	0.08963999602
162	0.08941691225
163	0.08864643374
164	0.08747377741
165	0.08734797401
166	0.08686130033
167	0.08590006406
168	0.08545249207
169	0.08473872993
170	0.08436947301
171	0.08370207918
172	0.08322914859
173	0.08250683893
174	0.0813309985
175	0.08114182265
176	0.08103626928
177	0.08032060105
178	0.07935761171
179	0.07862356475
180	0.07773421323
181	0.07754312358
182	0.07718460587
183	0.07688750982
184	0.07678674177
185	0.07568554224
186	0.07541966533
187	0.07532911663
188	0.07496529525
189	0.07386465464
190	0.07377302593
191	0.07328670191
192	0.07242961071
193	0.07167437255
194	0.0713061962
195	0.07092790373
196	0.07068233311
197	0.07048531453
198	0.06987266294
199	0.06962259236
200	0.06948365679
201	0.06853532946
202	0.0678978237
203	0.06745132664
204	0.0665296088
205	0.06628858218
206	0.06587546871
207	0.0658016646
208	0.06520140737
209	0.0649048431
210	0.06442113618
211	0.06424237809
212	0.06416995168
213	0.06385605487
214	0.06301312555
215	0.06218280362
216	0.06211097427
217	0.06194730352
218	0.0618799551
219	0.06141787878
220	0.06087282931
221	0.06061332045
222	0.06046308288
223	0.05994239436
224	0.05981923586
225	0.05960734326
226	0.05914834364
227	0.05896199247
228	0.05837967251
229	0.05825117815
230	0.05778499109
231	0.05772025268
232	0.05754868571
233	0.05731407159
234	0.0566574512
235	0.05614411621
236	0.05567371259
237	0.05553988228
238	0.05548105938
239	0.05508454449
240	0.05485130058
241	0.0547940485
242	0.0546696859
243	0.05422939387
244	0.05398759485
245	0.05384847208
246	0.05337139646
247	0.05331600857
248	0.05288959585
249	0.05251954089
250	0.05241047539
251	0.05201226365
252	0.05182464273
253	0.05177551098
254	0.05147152283
255	0.05142523426
256	0.05127698361
257	0.05071065059
258	0.05061987015
259	0.05018268772
260	0.04988909729
261	0.04946920682
262	0.04942477973
263	0.04937905468
264	0.04895531887
265	0.04884471798
266	0.04859347106
267	0.04819121475
268	0.04810541481
269	0.04776069185
270	0.04746795379
271	0.04708360185
272	0.04692408898
273	0.04688018157
274	0.04672626626
275	0.04659030719
276	0.0462057139
277	0.04578570269
278	0.04571946865
279	0.04562445625
280	0.04547655412
281	0.04491134045
282	0.04445488032
283	0.04441478875
284	0.04405992571
285	0.04398294823
286	0.04367456765
287	0.04363687592
288	0.04349498261
289	0.04345939205
290	0.04324136446
291	0.04293351026
292	0.04283376398
293	0.04245329874
294	0.04241813205
295	0.04231205657
296	0.04207456127
297	0.0417112858
298	0.04164350033
299	0.04160955547
